ID,Posición,Area,Á.liq.,Grupo de personal,CODIGO POSTAL,Motivo de la RENUNCIA,Tipo de Baja,Banda,Baja,ReglaPHT,Alta,Antigüedad Clas,Antigüedad,Clave de sexo,Lugar de nacimiento,Clasificacion L. N,Edad del empleado,¿Cuanto tiempo tiene viviendo en Cd. Juarez?,Estado Civil,Hijos
11,POS1661,MFS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,03/01/2023,JS011500,11/10/2022,1 - 3 Años,84,Femenino,CHIHUAHUA,ESTADO,18,10+ Years,Soltero,0
12,POS2003,VS4,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,03/01/2023,JS011500,02/03/2016,6 - 10 Años,2498,Femenino,SANTA BARBARA,PAIS,41,10+ Years,U.Libre,2
13,POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DNO,03/01/2023,JF010600,08/12/2022,1 - 3 Años,26,Masculino,DURANGO,PAIS,40,10+ Years,U.Libre,2
14,POS1230,VS1,S5,Direct,32690,Vol-Otro empleo,Voluntario,DNO,03/01/2023,JF010600,30/08/2018,4 - 5 Años,1587,Masculino,JUAREZ,CIUDAD ,25,10+ Years,Soltero,0
15,POS1376,VS9-ABS,S5,Direct,32576,Vol-Insatisfacción personal,Voluntario,DNO,03/01/2023,JF010600,24/01/2019,4 - 5 Años,1440,Femenino,JUAREZ,CIUDAD ,27,Menos de un año,Soltero,0
16,POS1323,VS7,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JF010600,11/08/2022,1 - 3 Años,146,Femenino,CIUDAD JUAREZ,CIUDAD ,33,Menos de un año,Soltero,2
17,POS1323,VS5,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JT012324,05/09/2019,4 - 5 Años,1217,Femenino,JUAREZ,CIUDAD ,23,10+ Years,Soltero,1
18,POS1323,VS7,S5,Direct,32540,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JT012324,08/10/2020,1 - 3 Años,818,Femenino,JUAREZ,CIUDAD ,20,10+ Years,Soltero,1
19,POS2939,VS1-HOUS,S5,Direct,32584,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JT012324,20/10/2022,1 - 3 Años,76,Masculino,JUAREZ,CIUDAD ,31,10+ Years,U.Libre,0
20,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JT012324,17/11/2022,1 - 3 Años,48,Femenino,JUAREZ,CIUDAD ,18,10+ Years,Soltero,0
21,POS1323,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,04/01/2023,JS011500,08/09/2022,1 - 3 Años,118,Masculino,TUXTLA GUTIERREZ,PAIS,21,10+ Years,Soltero,0
22,POS1323,VS1,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DO,05/01/2023,JF010600,06/09/2018,4 - 5 Años,1582,Femenino,GUERRERO,ESTADO,23,Menos de un año,Soltero,0
23,POS347,LOG,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DNO,06/01/2023,JT012324,15/12/2022,1 - 3 Años,22,Masculino,OAXACA,PAIS,24,3-4 Years,Soltero,0
24,POS581,LOG,S6,Exempt,32433,Vol-Otro empleo,Voluntario,E3,06/01/2023,JF010600,27/05/2021,1 - 3 Años,589,Masculino,CHIHUAHUA,ESTADO,30,Menos de un año,Soltero,0
25,POS2803,VS5,S5,Direct,32600,Imp.Tra-LFT y/o Reglamento Int.,Impuesta,DNO,07/01/2023,JF050600,13/07/2017,6 - 10 Años,2004,Masculino,TORREON,PAIS,45,Menos de un año,Casado,2
26,POS1657,TEF,S6,Exempt,32540,Vol-Transferencia entre planta,Voluntario,E4,08/01/2023,ADMINIST,20/09/2010,10+ Años,4493,Masculino,JUAREZ,CIUDAD ,36,Menos de un año,Soltero,0
27,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,09/01/2023,JS011500,08/12/2022,1 - 3 Años,32,Masculino,CIUDAD JUAREZ,CIUDAD ,18,10+ Years,Soltero,0
28,POS538,VS4,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DO,09/01/2023,JT031800,06/10/2022,1 - 3 Años,95,Masculino,COATZACOALCOS,PAIS,30,Menos de un año,Soltero,0
29,POS1380,MFS,S5,Direct,32599,Vol-Otro empleo,Voluntario,DO,10/01/2023,JT031800,28/03/2019,4 - 5 Años,1384,Femenino,JUAREZ,CIUDAD ,22,5-6 Years,Soltero,0
30,POS1230,VS7,S5,Direct,32575,Vol-Otro empleo,Voluntario,DNO,10/01/2023,JF010600,12/09/2019,4 - 5 Años,1216,Masculino,JUAREZ,CIUDAD ,24,Menos de un año,Soltero,0
31,POS1380,MFS,S5,Direct,32696,Vol-Otro empleo,Voluntario,DO,10/01/2023,JT031800,04/02/2021,1 - 3 Años,705,Femenino,TEMIXO,PAIS,23,5-6 Years,U.Libre,1
32,POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,10/01/2023,JF010600,04/02/2021,1 - 3 Años,705,Femenino,VERACRUZ,PAIS,23,5-6 Years,Soltero,0
33,POS538,VS7,S5,Direct,32575,Vol-Cambio de domicilio,Voluntario,DO,10/01/2023,JT031800,11/08/2022,1 - 3 Años,152,Masculino,DURANGO,PAIS,20,10+ Years,Soltero,0
34,POS1323,VS5,S5,Direct,32599,Vol-Insatisfacción personal,Voluntario,DO,10/01/2023,JS011500,14/09/2022,1 - 3 Años,118,Femenino,DURANGO,PAIS,48,10+ Years,Casado,3
35,POS1323,VS9-ABS,S5,Direct,32570,Vol-Prob personales y/o fam.,Voluntario,DO,10/01/2023,JF010600,03/10/2022,1 - 3 Años,99,Masculino,JUAREZ,CIUDAD ,45,9-10 Years,U.Libre,2
36,POS1921,MFS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,10/01/2023,JF010600,03/10/2022,1 - 3 Años,99,Femenino,CHIHUAHUA,ESTADO,33,10+ Years,U.Libre,0
37,POS2939,VS9-ABS,S5,Direct,32598,Vol-No regreso / no dio razón,Voluntario,DO,10/01/2023,JF010600,01/12/2022,1 - 3 Años,40,Masculino,VERACRUZ,PAIS,22,9-10 Years,Soltero,0
38,POS347,LOG,S5,Direct,32696,Imp.Tra-Ausentismos continuos,Impuesta,DNO,10/01/2023,JS011500,15/12/2022,1 - 3 Años,26,Masculino,CHIHUAHUA,ESTADO,31,Menos de un año,Soltero,1
39,POS2384,QMM,S5,Direct,32217,Vol-Otro empleo,Voluntario,DNO,10/01/2023,JF010600,02/11/2005,10+ Años,6278,Masculino,"SAN RAFAEL ARRIBA, COAH.",PAIS,45,10+ Years,Casado,4
40,POS2553,QMM,S5,Direct,32150,Vol-Prob personales y/o fam.,Voluntario,DNO,10/01/2023,JT012324,15/07/2013,6 - 10 Años,3466,Femenino,SAN PEDRO VALPARAISO,PAIS,39,10+ Years,Casado,3
41,POS2802,TEF,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DNO,10/01/2023,JF010600,13/04/2015,6 - 10 Años,2829,Femenino,GOMEZ PALACIO,ESTADO,27,7-8 Years,U.Libre,0
42,POS538,VS9-ABS,S5,Direct,32540,Vol-Insatisfacción personal,Voluntario,DO,10/01/2023,JF060600,02/11/2016,6 - 10 Años,2260,Femenino,POBLADO EL LUCERO,PAIS,36,10+ Years,U.Libre,2
43,POS1661,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,11/01/2023,JT012324,08/12/2022,1 - 3 Años,34,Femenino,CAMARGO,ESTADO,36,10+ Years,Casado,3
44,POS1230,VS9-ABS,S5,Direct,32665,Vol-Transferencia entre planta,Voluntario,DNO,13/01/2023,JF010600,08/11/2018,4 - 5 Años,1527,Masculino,JUAREZ,CIUDAD ,24,Menos de un año,U.Libre,0
45,POS2076,HRL,S6,Exempt,32695,Imp.Pat-Pensionado IMSS,Impuesta,E3,13/01/2023,ADMINIST,23/01/2006,10+ Años,6199,Femenino,"NUEVO CASAS GRANDES, CHIH",ESTADO,42,Menos de un año,Soltero,1
46,POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,13/01/2023,JS011500,28/07/2022,1 - 3 Años,169,Femenino,JUAREZ,CIUDAD ,24,10+ Years,Soltero,0
47,POS2046,VS4,S6,Exempt,32410,Vol-Transferencia entre planta,Voluntario,E4,13/01/2023,ADMINIST,15/05/2006,10+ Años,6087,Femenino,"CUAUHTEMOC, CHIH",ESTADO,42,Menos de un año,Soltero,2
48,POS2856,VS5,S6,Exempt,32587,Vol-Otro empleo,Voluntario,E3,13/01/2023,ADMINIST,23/04/2014,6 - 10 Años,3187,Masculino,JUAREZ,CIUDAD ,28,Menos de un año,Soltero,0
49,POS2939,VS1-HOUS,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DO,16/01/2023,JF010600,01/12/2022,1 - 3 Años,46,Femenino,GUERRERO,ESTADO,24,Menos de un año,Soltero,1
50,POS347,LOG,S5,Direct,32697,Vol-No regreso / no dio razón,Voluntario,DNO,16/01/2023,JS011500,22/12/2022,1 - 3 Años,25,Masculino,JIQUIPILAS,PAIS,20,Menos de un año,U.Libre,0
51,POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DNO,16/01/2023,JT021800,01/12/2022,1 - 3 Años,46,Masculino,JUAREZ,CIUDAD ,28,Menos de un año,Divorciado,1
52,POS538,VS5,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,17/01/2023,JF060600,08/10/2020,1 - 3 Años,831,Femenino,JUAREZ,CIUDAD ,20,10+ Years,Soltero,0
53,POS538,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,17/01/2023,JT031800,26/11/2020,1 - 3 Años,782,Masculino,CHIHUAHUA,ESTADO,45,10+ Years,U.Libre,1
54,POS538,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,17/01/2023,JT031800,25/08/2022,1 - 3 Años,145,Femenino,OAXACA,PAIS,38,Menos de un año,Casado,3
55,POS1323,VS9-ABS,S5,Direct,32599,Vol-Cambio de domicilio,Voluntario,DO,17/01/2023,JF010600,08/09/2022,1 - 3 Años,131,Masculino,TABASCO,PAIS,39,10+ Years,U.Libre,3
56,POS538,VS9-ABS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,17/01/2023,JF060600,17/11/2022,1 - 3 Años,61,Femenino,JUAREZ,CIUDAD ,20,10+ Years,Soltero,0
57,POS2803,VS7,S5,Direct,32576,Vol-Otro empleo,Voluntario,DNO,17/01/2023,JF010600,08/06/2017,6 - 10 Años,2049,Masculino,JUAREZ,CIUDAD ,47,Menos de un año,Casado,2
58,POS2803,VS7,S5,Direct,32594,Vol-Prob personales y/o fam.,Voluntario,DNO,17/01/2023,JS011500,06/04/2016,6 - 10 Años,2477,Masculino,VERACRUZ,PAIS,65,Menos de un año,Casado,4
59,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,18/01/2023,JT012324,03/11/2022,1 - 3 Años,76,Femenino,SAN DIMAS,PAIS,37,8-9 Years,U.Libre,2
60,POS1380,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,19/01/2023,JT031800,20/02/2020,1 - 3 Años,1064,Femenino,COSAMALOAPAN,PAIS,28,Menos de un año,Casado,0
61,POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,20/01/2023,JS011500,04/12/2013,6 - 10 Años,3334,Femenino,VERACRUZ,PAIS,39,Menos de un año,U.Libre,2
62,POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,23/01/2023,JT031800,03/11/2022,1 - 3 Años,81,Femenino,ANGEL R CABADA,PAIS,46,Menos de un año,U.Libre,2
63,POS538,VS5,S5,Direct,32696,Vol-No regreso / no dio razón,Voluntario,DO,23/01/2023,JF060600,15/12/2022,1 - 3 Años,39,Femenino,CHIHUAHUA,ESTADO,31,Menos de un año,U.Libre,3
64,POS1380,MFS,S5,Direct,32695,Vol-No regreso / no dio razón,Voluntario,DO,23/01/2023,JF060600,15/12/2022,1 - 3 Años,39,Femenino,DURANGO,PAIS,53,Menos de un año,Casado,3
65,POS1380,MFS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,23/01/2023,JF060600,15/12/2022,1 - 3 Años,39,Femenino,COAHUILA,PAIS,42,Menos de un año,Casado,3
66,POS1380,MFS,S5,Direct,32575,Vol-Cambio de domicilio,Voluntario,DO,24/01/2023,JT031800,14/09/2022,1 - 3 Años,132,Femenino,DURANGO,PAIS,30,10+ Years,Soltero,0
67,POS538,VS1,S5,Direct,32543,Vol-Estudios,Voluntario,DO,24/01/2023,JT031800,04/07/2019,4 - 5 Años,1300,Femenino,JUAREZ,CIUDAD ,21,Menos de un año,Soltero,0
68,POS1323,VS9-ABS,S5,Direct,32599,Vol-Otro empleo,Voluntario,DO,24/01/2023,JF010600,13/02/2020,1 - 3 Años,1076,Femenino,COATZACOALCOS,PAIS,21,Menos de un año,Soltero,0
69,POS1921,MFS,S5,Direct,32575,Vol-Razones médicas,Voluntario,DO,24/01/2023,JT012324,03/12/2020,1 - 3 Años,782,Femenino,VERACRUZ,PAIS,52,10+ Years,Soltero,1
70,POS1323,VS9-ABS,S5,Direct,32570,Vol-Prob personales y/o fam.,Voluntario,DO,24/01/2023,JF010600,04/03/2021,1 - 3 Años,691,Femenino,JUAREZ,CIUDAD ,30,Menos de un año,Casado,1
71,POS1323,VS5,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,24/01/2023,JT012324,01/09/2022,1 - 3 Años,145,Femenino,JUAREZ,CIUDAD ,25,10+ Years,U.Libre,3
72,POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,24/01/2023,JT031800,17/11/2022,1 - 3 Años,68,Femenino,SAN FRANCISCO DEL MAR,PAIS,31,Menos de un año,Casado,3
73,POS347,LOG,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DNO,24/01/2023,JS011500,20/08/2014,6 - 10 Años,3079,Masculino,JUAREZ,CIUDAD ,27,8-9 Years,Casado,2
74,POS1230,VS7,S5,Direct,32599,Vol-Otro empleo,Voluntario,DNO,24/01/2023,JF010600,09/11/2016,6 - 10 Años,2267,Masculino,DURANGO,PAIS,34,10+ Years,Divorciado,1
75,POS538,VS1,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,24/01/2023,JF060600,16/11/2017,6 - 10 Años,1895,Femenino,TORREON,PAIS,27,10+ Years,U.Libre,2
76,POS347,LOG,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DNO,26/01/2023,JS011500,19/01/2023,Menos de un Mes,7,Masculino,JUAREZ,CIUDAD ,22,Menos de un año,U.Libre,1
77,POS1323,VS5,S5,Direct,32600,Vol-Transferencia entre planta,Voluntario,DO,27/01/2023,JS011500,14/12/2017,6 - 10 Años,1870,Masculino,VERACRUZ,PAIS,42,Menos de un año,U.Libre,1
78,POS1683,CTG,S6,Exempt,32575,Vol-Transferencia entre planta,Voluntario,E4,29/01/2023,ADMINIST,02/12/2015,6 - 10 Años,2615,Femenino,CIUDAD JUAREZ,CIUDAD ,29,Menos de un año,Soltero,0
79,POS538,VS1-HOUS,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DO,30/01/2023,JF060600,08/09/2022,1 - 3 Años,144,Femenino,CUENCAME,PAIS,31,Menos de un año,Soltero,3
80,POS538,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,30/01/2023,JT031800,03/11/2022,1 - 3 Años,88,Femenino,TUXTEPEC,PAIS,24,Menos de un año,Soltero,0
81,POS1376,VS5,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DNO,30/01/2023,JT021800,03/09/2007,10+ Años,5628,Femenino,VERACRUZ,PAIS,39,Menos de un año,U.Libre,4
82,POS347,LOG,S5,Direct,32599,Vol-Prob personales y/o fam.,Voluntario,DNO,31/01/2023,JS011500,01/10/2019,4 - 5 Años,1218,Femenino,JUAREZ,CIUDAD ,22,Menos de un año,Soltero,0
83,POS538,VS9-ABS,S5,Direct,32575,Vol-Otro empleo,Voluntario,DO,31/01/2023,JF060600,08/09/2022,1 - 3 Años,145,Masculino,CIUDAD JUAREZ,CIUDAD ,24,10+ Years,Soltero,0
84,POS1380,MFS,S5,Direct,32583,Vol-Otro empleo,Voluntario,DO,31/01/2023,JF060600,31/08/2017,6 - 10 Años,1979,Masculino,OAXACA,PAIS,25,10+ Years,Soltero,0
85,POS1323,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,31/01/2023,JF010600,03/10/2022,1 - 3 Años,120,Femenino,MINATITLAN,PAIS,23,Menos de un año,Soltero,0
86,POS1661,MFS,S5,Direct,32599,Vol-Estudios,Voluntario,DO,31/01/2023,JS011500,20/10/2022,1 - 3 Años,103,Masculino,CIU,PAIS,24,Menos de un año,Soltero,0
87,POS1376,MFS,S5,Direct,32160,Vol-Otro empleo,Voluntario,DNO,31/01/2023,JF050600,02/02/2012,10+ Años,4016,Masculino,TOLUCA MEXICO,PAIS,30,10+ Years,Soltero,0
88,POS1661,MFS,S5,Direct,32695,Vol-Estudios,Voluntario,DO,31/01/2023,JF010600,24/11/2022,1 - 3 Años,68,Femenino,JUAREZ,CIUDAD ,18,10+ Years,Soltero,0
89,POS1921,MFS,S5,Direct,32600,Vol-Otro empleo,Voluntario,DO,31/01/2023,JS011500,28/12/2017,6 - 10 Años,1860,Masculino,GUERRERO,ESTADO,25,Menos de un año,U.Libre,2
90,POS538,VS7,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,31/01/2023,JT031800,11/08/2022,1 - 3 Años,173,Femenino,VERACRUZ,PAIS,22,10+ Years,Soltero,1
91,POS1380,MFS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,31/01/2023,JT031800,29/09/2022,1 - 3 Años,124,Masculino,CHIHUAHUA,ESTADO,30,10+ Years,Casado,2
92,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,01/02/2023,JT012324,17/11/2022,1 - 3 Años,76,Femenino,CORDOBA,PAIS,33,10+ Years,U.Libre,2
93,POS750,TEF,S5,Indirect,32545,Vol-Transferencia entre planta,Voluntario,DNO,03/02/2023,ADMINIST,02/05/2019,4 - 5 Años,1373,Masculino,JUAREZ,CIUDAD ,30,10+ Years,Soltero,0
94,POS750,TEF,S5,Indirect,32100,Vol-Transferencia entre planta,Voluntario,DNO,03/02/2023,ADMINIST,06/05/2021,1 - 3 Años,638,Masculino,CHIHUAHUA,ESTADO,30,1-2 Years ,Soltero,0
95,POS907,VS9-ABS,S6,Exempt,32540,Vol-Otro empleo,Voluntario,E3,03/02/2023,ADMINIST,23/10/2017,6 - 10 Años,1929,Femenino,JUAREZ,CIUDAD ,30,Menos de un año,Soltero,0
96,POS2745,MFS,S6,Exempt,32546,Vol-Otro empleo,Voluntario,E4,03/02/2023,ADMINIST,15/06/2016,6 - 10 Años,2424,Masculino,JUAREZ,CIUDAD ,47,Menos de un año,Divorciado,2
97,POS1230,VS7,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DNO,03/02/2023,JF010600,06/04/2016,6 - 10 Años,2494,Masculino,JUCHITAN,PAIS,38,Menos de un año,Soltero,1
98,POS347,LOG,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DNO,06/02/2023,JF010600,07/09/2017,6 - 10 Años,1978,Masculino,OAXACA,PAIS,34,10+ Years,Soltero,0
99,POS538,VS9-ABS,S5,Direct,32563,Vol-Estudios,Voluntario,DO,07/02/2023,JF060600,24/10/2019,4 - 5 Años,1202,Femenino,CHIHUAHUA,ESTADO,23,Menos de un año,U.Libre,1
100,POS1230,VS9-ABS,S5,Direct,32667,Vol-Otro empleo,Voluntario,DNO,07/02/2023,JT012324,15/12/2022,1 - 3 Años,54,Masculino,CHIHUAHUA,ESTADO,22,10+ Years,Soltero,0
101,POS750,TEF,S5,Indirect,32580,Vol-Otro empleo,Voluntario,DNO,07/02/2023,ADMINIST,23/02/2017,6 - 10 Años,2175,Femenino,CD GOMEZ PALACIO,ESTADO,25,7-8 Years,Soltero,0
102,POS2003,VS5,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,07/02/2023,JS011500,20/05/2015,6 - 10 Años,2820,Masculino,GOMEZ PALACIO,ESTADO,57,Menos de un año,U.Libre,3
103,POS1884,DBE,S6,Exempt,32240,Vol-Otro empleo,Voluntario,E4,09/02/2023,ADMINIST,25/08/2014,6 - 10 Años,3090,Masculino,JUAREZ,CIUDAD ,33,Menos de un año,Casado,1
104,POS2858,QMM,S6,Exempt,32618,Vol-Otro empleo,Voluntario,E3,10/02/2023,ADMINIST,03/12/2018,4 - 5 Años,1530,Femenino,JUAREZ,CIUDAD ,26,Menos de un año,Casado,0
105,POS1323,VS1,S5,Direct,32599,Vol-Transferencia entre planta,Voluntario,DO,10/02/2023,JF010600,30/08/2018,4 - 5 Años,1625,Femenino,JUAREZ,CIUDAD ,22,Menos de un año,Soltero,0
106,POS750,TEF,S5,Indirect,32575,Vol-Transferencia entre planta,Voluntario,DNO,10/02/2023,ADMINIST,15/07/2013,6 - 10 Años,3497,Masculino,JUAREZ,CIUDAD ,31,10+ Years,U.Libre,0
107,POS538,VS9-ABS,S5,Direct,32590,Vol-No regreso / no dio razón,Voluntario,DO,13/02/2023,JF060600,06/10/2022,1 - 3 Años,130,Masculino,CHIHUAHUA,ESTADO,20,Menos de un año,Soltero,0
108,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,13/02/2023,JS011500,19/01/2023,Menos de un Mes,25,Masculino,VERACRUZ,PAIS,21,Menos de un año,Soltero,0
109,POS1380,MFS,S5,Direct,32575,Vol-Estudios,Voluntario,DO,14/02/2023,JF060600,27/12/2018,4 - 5 Años,1510,Femenino,JUAREZ,CIUDAD ,23,10+ Years,Soltero,0
110,POS1323,VS5,S5,Direct,32575,Vol-Estudios,Voluntario,DO,14/02/2023,JT012324,01/09/2022,1 - 3 Años,166,Femenino,CHIHUAHUA,ESTADO,20,9-10 Years,Soltero,0
111,POS347,LOG,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DNO,14/02/2023,JF010600,03/10/2022,1 - 3 Años,134,Masculino,GUADALAJARA,PAIS,36,10+ Years,Soltero,1
112,POS2939,VS9-ABS,S5,Direct,32575,Vol-Prob personales y/o fam.,Voluntario,DO,14/02/2023,JF010600,01/12/2022,1 - 3 Años,75,Femenino,CHIHUAHUA,ESTADO,33,10+ Years,Soltero,2
113,POS750,TEF,S5,Indirect,32573,Vol-Otro empleo,Voluntario,DNO,14/02/2023,ADMINIST,19/01/2023,Menos de un Mes,26,Femenino,CIUDAD JUAREZ,CIUDAD ,24,10+ Years,Soltero,0
114,POS538,VS1-HOUS,S5,Direct,32600,Vol-Estudios,Voluntario,DO,14/02/2023,JF060600,13/07/2017,6 - 10 Años,2042,Masculino,JUAREZ,CIUDAD ,25,10+ Years,Soltero,0
115,POS2939,VS9-ABS,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DO,14/02/2023,JS011500,01/12/2022,1 - 3 Años,75,Masculino,LERDO,ESTADO,33,Menos de un año,Soltero,3
116,POS2939,VS5,S5,Direct,32573,Vol-No regreso / no dio razón,Voluntario,DO,15/02/2023,JT012324,19/01/2023,Menos de un Mes,27,Femenino,CINTALAPA,PAIS,33,10+ Years,U.Libre,2
117,POS2939,VS9-ABS,S5,Direct,32599,Vol-No regreso / no dio razón,Voluntario,DO,16/02/2023,JS011500,26/01/2023,Menos de un Mes,21,Femenino,JUAREZ,CIUDAD ,19,Menos de un año,Soltero,1
118,POS2939,VS9-ABS,S5,Direct,32575,Vol-No regreso / no dio razón,Voluntario,DO,16/02/2023,JS011500,26/01/2023,Menos de un Mes,21,Femenino,TLAHUALILO DE ZARAGOZA,PAIS,24,Menos de un año,U.Libre,0
119,POS1921,MFS,S5,Direct,32575,Vol-Transferencia entre planta,Voluntario,DO,17/02/2023,JF010600,17/10/2019,4 - 5 Años,1219,Femenino,TABASCO,PAIS,32,Menos de un año,U.Libre,2
120,POS1921,MFS,S5,Direct,32424,Imp.Tra-Jubilación,Impuesta,DO,17/02/2023,JF010600,16/01/2006,10+ Años,6241,Femenino,CD. JUAREZ CHIH,CIUDAD ,60,Menos de un año,Viudo,3
121,POS1376,VS7,S5,Direct,32696,Imp.Tra-Jubilación,Impuesta,DNO,17/02/2023,JF010600,29/09/1995,10+ Años,10003,Masculino,JUAREZ,CIUDAD ,57,Menos de un año,Casado,2
122,POS347,LOG,S5,Direct,32575,Vol-Insatisfacción personal,Voluntario,DNO,21/02/2023,JS011500,25/03/2021,1 - 3 Años,698,Masculino,CHIHUAHUA,ESTADO,50,10+ Years,Casado,3
